Date,AAPL,MSFT,NVDA,JPM
2026-07-23,40840800,30351800,110505300,10913000.0
2026-07-24,47489400,27659400,114836800,7520800.0
2026-07-27,49604300,27856200,154353700,7884900.0
2026-07-28,51859000,32367500,134111500,6533800.0
2026-07-29,56090800,47209000,147680800,8265300.0
2026-07-30,74817800,110160700,129010200,7606500.0
2026-07-31,132489100,60846000,139961200,6603400.0
2026-08-03,75052000,66762100,128406900,6436600.0
2026-08-04,68001000,50455500,134922000,8477200.0
2026-08-05,49438800,33388900,158187400,5269500.0
2026-08-06,46139900,36441500,113940600,5820100.0
2026-08-07,34437200,28846200,105669400,4566200.0
2026-08-10,44812500,31206100,115846600,5327500.0
2026-08-11,37476700,23049800,101273100,4576500.0
2026-08-12,41657800,29001500,108783600,4366800.0
2026-08-13,40349300,23039000,98867200,5102700.0
2026-08-14,28229400,16217600,75680900,5058600.0
2026-08-17,38169300,29635800,93678700,5282600.0
2026-08-18,53424500,24087600,103128200,5525100.0
2026-08-19,50505600,19961900,96797300,6696200.0
2026-08-20,40959200,20020800,92457000,6799700.0
2026-08-21,46876800,22510800,98869300,8112100.0
2026-08-24,34673600,17230800,135187300,4394400.0
2026-08-25,25869800,19519000,122309000,4298000.0
2026-08-26,34024500,20758900,179900000,5796500.0
2026-08-27,32419200,28688800,298909800,5209900.0
2026-08-28,38649400,29207300,195116400,
2026-08-31,41242700,27208900,124702700,7962900.0
2026-09-01,53167400,21046900,109756200,5079000.0
2026-09-02,33746700,15323000,156676500,5341400.0
2026-09-03,5651192,5078602,33634018,1073026.0
